company_name;founded;industry;location;about;stage;amount;Table
Tripshelf;0;Internet;Kalkaji;Tripshelf is an online market place for holiday packages.;Seed;176000;2018
Tolet for Students;0;Hospitality;Jodhpur;Reserve your Room, Hostel or Paying Guest, while relocating for higher education.;Seed;55000;2018
Dainik Jagran;0;Media and Entertainment;Kanpur;Dainik Jagran is a media and communications group.;Seed;440000;2018
FoodBuddy;0;Food Delivery;Belgaum;FoodBuddy is a online food delivery portal, providing boundary breaking delivery.;Seed;660000;2018
Log 9 Materials;0;Nanotechnology;Uttar Pradesh;Log 9 Materials is a nano-materials manufacturing and RnD startup;Seed;330000;2018
Gugu;0;Battery;Coimbatore;Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.;Seed;232500;2018
UClean;0;Clean Energy;India;UClean is a tech enabled laundry service provider.;Seed;440000;2018
Rooter;0;Sports;India;Rooter is a mobile-based platform;Seed;495000;2018
BlueJack;0;Autonomous Vehicles;Delhi;Delhi-based online used vehicles marketplace.;Seed;704000;2018
Avishkaar Box;0;Children;Delhi;Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution;Seed;550000;2018
CoinGeto;0;Cryptocurrency;Delhi;CoinGeto is one of India’s most advanced digital assets exchange.;Seed;1320000;2018
Lendbox;0;Crowdfunding;Delhi;Lendbox is India's leading peer-to-peer lending online lending platform.;Seed;660000;2018
Carmesi;0;Health Care;Gurgaon;Carmesi is a brand of high-end menstrual-hygiene products in India.;Seed;374000;2018
Boodmo;0;Automotive;Gurgaon;boodmo.com - large online marketplace for auto parts in India.;Seed;770000;2018
PlanetSpark;0;E-Learning;Gurgaon;PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.;Seed;176000;2018
PetSutra;0;Veterinary;Gurgaon;Gurugram-based Online petcare platform.;Seed;104500;2018
Kuants;0;Financial Services;Gurgaon;Algorithmic trading platform.;Seed;55000;2018
VTION;0;Analytics;Gurgaon;VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.;Seed;211200;2018
Doubtnut;0;E-Learning;Gurgaon;Gurgaon based E-learning platform.;Seed;385000;2018
hoi foods;0;Food and Beverage;Gurgaon;India's first hotel dedicated food brand which promises great in room dining experience in budget hotels;Seed;396000;2018
INDwealth;0;Financial Services;Gurgaon;INDwealth is an Artificial Intelligence (AI) powered wealth management company;Seed;24200000;2018
Parkwheels;0;Industrial;Haryana;Parkwheels aims at solving the big, bad & unsexy parking problems of India.;Seed;132000;2018
Sleepy Owl Coffee;0;Food and Beverage;New Delhi;Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.;Seed;385000;2018
Chariot Tech;0;Internet of Things;New Delhi;Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.;Seed;220000;2018
Kriger Campus;0;Education;New Delhi;A Education Start Up.;Seed;330000;2018
Notesgen;0;EdTech;New Delhi;A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.;Seed;137500;2018
Be U Salons;0;Apps;New Delhi;Be U is India's first subscription based Salon Chain.;Seed;330000;2018
Printline Media(ThePrint);0;Digital Media;New Delhi;A digital news platform.;Seed;383900;2018
Picture TIme;0;Digital Entertainment;New Delhi;Operator of low-cost mobile cinema theatres in rural areas.;Seed;2750000;2018
Hospals;0;Medical;New Delhi;Hospals is a medical tourism company.;Seed;1395000;2018
TECHBOOZE;0;Education;New Delhi;"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.";Seed;93000;2018
GuruQ;0;Reading Apps;New Delhi;A one of its kind digital integrated platform connecting tutors and students.;Seed;275000;2018
Med365 Healthcare;0;Health Diagnostics;Jaipur;Wellness, Specialised Testing, Healthcare at Home;Seed;550000;2018
MedCords;0;Wellness;Pune;Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier;Seed;290400;2018
WHR;0;Health Care;Pune;WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.;Seed;133124;2018
True Elements;0;Dietary Supplements;Pune;True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.;Seed;550000;2018
Earth Food;0;Food and Beverage;Pune;Earth Food is a healthy Food Start Up.;Seed;704000;2018
Bon(Bonfleet Solutions);0;Financial Services;Pune;Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.;Seed;858000;2018
Enakshi;0;Fashion;Ahmedabad;Enakshi is an online apparel brand for women.;Seed;88000;2018
Antariksh Waste Ventures Pvt ltd;0;Internet of Things;Chennai;Waste Management for Smart Cities;Seed;5500;2018
Chai Kings;0;Food and Beverage;Chennai;Chai Kings is a tea retail chain;Seed;220000;2018
Aldopay;0;Mobile Payments;Chennai;Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.;Seed;186000;2018
Happy Cow Dairy;0;Agriculture;Mumbai;A startup which aggregates milk from dairy farmers in rural Maharashtra.;Seed;440000;2018
OTO Capital;0;Automotive;Mumbai;OTO Capital is a platform that allows you to own a car faster than ever.;Seed;550000;2018
Guiddoo World;0;Audio;Mumbai;We build In-Destination Experiences!;Seed;744000;2018
RupeeCircle;0;Financial Services;Mumbai;RupeeCircle is a new age finance company.;Seed;440000;2018
EGK Foods;0;Food and Beverage;Mumbai;A food processing enterprise registered with StartUp India .;Seed;220000;2018
Hey Deedee;0;Delivery Service;Mumbai;Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.;Seed;363000;2018
Doxper;0;Health Care;Mumbai;Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information;Seed;792000;2018
MCaffeine;0;Consumer Goods;Mumbai;MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.;Seed;352000;2018
Wellthy Therapeutics Pvt Ltd;0;Health Care;Mumbai;Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.;Seed;1485000;2018
Charcoal Eats;0;Food Processing;Mumbai;Charcoal Eats aims to bring Dominos style standardisation.;Seed;550000;2018
Square Off;0;Internet of Things;Mumbai;Delivering Imagination;Seed;1023000;2018
CashRich;0;Apps;Mumbai;A Mumbai-based fin-tech startup;Seed;930000;2018
Haazri;0;Food and Beverage;Mumbai;Haazri is a tea and snack quick service restaurant startup;Seed;137500;2018
Droni Tech;0;Information Technology;Mumbai;Droni Tech manufacture UAVs and develop software to service a range of industry requirements.;Seed;385000;2018
Sensibull;0;Trading Platform;Bangalore;Investment Management Platform;Seed;275000;2018
Racetrack;0;Artificial Intelligence;Bangalore;Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.;Seed;3762000;2018
DataTrained;0;EdTech;Bangalore;DataTrained is a educational platform, which operates an ed-tech startup on data science;Seed;1320000;2018
PerkFinance;0;Consumer Lending;Bangalore;PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company;Seed;837000;2018
Awign Enterprises;0;Business Development;Bangalore;Operations and manpower outsourcing startup;Seed;550000;2018
Workflexi;0;Human Resources;Bangalore;Be Smart, Work on Contract,Be Smart, Hire on Contract;Seed;110000;2018
Streak;0;Financial Services;Bangalore;Algorithmic trading platform.;Seed;247500;2018
arzooo.com;0;Consumer Electronics;Bangalore;E-commerce website promising the best price on any product a consumer buys anywhere on the internet.;Seed;165000;2018
Rocketium;0;Marketing;Bangalore;Easy video creation for social media.;Seed;220000;2018
Career Anna;0;Commercial;Bangalore;India's Go to Career Commerce Portal;Seed;440000;2018
Hush - Speak Up. Make Work Better;0;Communities;Bangalore;Enabling diversity of opinions in organizations;Seed;495000;2018
NIRAMAI Health Analytix;0;Health Care;Bangalore;NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.;Seed;5580000;2018
Pitstop;0;Automotive;Bengaluru;Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.;Seed;1100000;2018
Playtoome;0;Broadcasting;Bengaluru;Playtoome is a live entertainment destination;Seed;220000;2018
Cashkumar;0;Consumer Lending;Bengaluru;A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India;Seed;550000;2018
CloudSek;0;Information Technology;Bengaluru;Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.;Seed;1540000;2018
Multibashi;0;E-Learning;Bengaluru;Free language learning platform.;Seed;110000;2018
Arogya MedTech;0;Health Care;Kolkata;Arogya MedTech is a Research & Development organization in Bio-Medical industry.;Seed;165000;2018
Aashiyaan Housing and Development Finance;0;Financial Services;Kolkata;Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.;Seed;1485000;2018
LearnApp;0;Banking;Noida;Learnapp.co - Video courses & live classes in investing, trading, banking and finance.;Seed;220000;2018
Nivesh.com;0;Finance;Noida;Nivesh.com is a mass market mutual funds investment platform.;Seed;330000;2018
BhaskarGuru;0;Search Engine;Bhopal;Bhaskarguru.com is your local search Engine;Seed;930000;2018
FeedMyPockets;0;Advertising;Bangalore City;On Demand Staffing Platform;Seed;484000;2018
Idha Skin Clinic;0;Beauty;Bangalore City;Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.;Seed;55000;2018
Paymatrix;0;Credit Cards;Hyderabad;India's Leading Property Rent management platform;Seed;93000;2018
Next Digital Solutions;0;Digital Marketing;Kota;Next Digital Solutions is website design & Digital Marketing development company.;Angel;1100;2018
Bonphul Air Products;0;CleanTech;Delhi;A clean tech product Company;Angel;220000;2018
ZunRoof;0;Environmental Consulting;Gurgaon;ZunRoof is a rooftop focused solar startup.;Angel;182600;2018
Chtrbox;0;Advertising;Mumbai;Chtrbox connects social media influencers with brands .;Angel;110000;2018
CleanseCar;0;Automotive;Bangalore;CleanseCar is a company provides Washing and Repair Services.;Angel;385000;2018
BIGPHI TECHNOLOGIES PVT. LTD.;0;Fashion;Bangalore;BIGPHI technologies is the India's first technologically advanced apparel and wearable company.;Angel;837000;2018
i2ifunding;0;Crowdfunding;Noida;i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.;Angel;550000;2018
Eggoz;0;Food and Beverage;Indore;Eggoz is a full-stack layer poultry business operator & service provider .;Angel;132000;2018
Hyperdata.IO;0;Market Research;Hyderabad;Hyperdata combines advanced machine learning with human intelligence.;Angel;550000;2018
Chezuba;0;Internet;Hyderabad;Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide;Angel;15400;2018
Forum for Innovation Incubation Research and Entrepreneurship;0;Funding Platform;Margão;FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.;Grant;1127500;2018
Articbot;0;Artificial Intelligence;Kannur;Articbot is a conversational AI platform for automated customer support and lead generation;Grant;13200;2018
AuthMetrik;0;B2B;Gurgaon;SaaS, B2B, Security, Stop account sharing, Fraud Detection;Grant;9300;2018
CivilCops;0;Government;Gurgaon;Gov-Tech;Pre-Seed;93000;2018
UnoTag;0;Artificial Intelligence;Bangalore;SaaS to verify counterfeit;Pre-Seed;93000;2018
artbandhu;0;Digital Media;Bangalore;Ai platform for Art and Creative Community;Pre-Seed;13950;2018
Vizzbee;0;Artificial Intelligence;Bhopal;Autonomous Drone Solutions for last mile delivery as well as search and rescue;Pre-Seed;18600;2018
9stacks;0;Online Games;Delhi;Online gaming startup.;Series A;3080000;2018
MyLoanCare;0;Credit;Gurgaon;Leading Online Loans Marketplace in India;Series A;715000;2018
BuildSupply;0;Enterprise Resource Planning (ERP);Gurgaon;India’s most advanced ERP system for the real estate;Series A;2750000;2018
FastFox;0;Rental;Gurgaon;FastFox: Market Network for Home Rentals (India);Series A;1100000;2018
Spinny;0;E-Commerce;Gurgaon;Used cars marketplace in India. Ushering new era of transparency and convenience.;Series A;10230000;2018
Milkbasket;0;E-Commerce;Haryana;Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.;Series A;6510000;2018
Aviom India Housing Finance;0;Finance;New Delhi;Delhi based housing finance company.;Series A;1650000;2018
GamingMonk;0;eSports;New Delhi;GamingMonk is an eSports gaming company based out of New Delhi, India.;Series A;440000;2018
Planys Technologies;0;Manufacturing;Chennai;Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.;Series A;1542200;2018
Detect Technologies;0;Artificial Intelligence;Chennai;Completely automated remote control system.;Series A;3069000;2018
Impact Guru;0;Creative Agency;Mumbai;We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.;Series A;1860000;2018
Wishberry;0;Crowdfunding;Mumbai;Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.;Series A;1100000;2018
Cube;0;Banking;Mumbai;Cube is consumer banking focused fintech company.;Series A;1540000;2018
Ultraviolette Automotive;0;Automotive;Bangalore;Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.;Series A;660;2018
HalaPlay Technologies;0;Digital Entertainment;Bangalore;A daily fantasy sports platform.;Series A;4650000;2018
Verloop;0;Customer Service;Bangalore;Verloop is an automated customer support and engagement platform.;Series A;2790000;2018
Signzy;0;Computer;Bangalore;Signzy are creating 'building blocks for a Digital Trust system.;Series A;2640000;2018
Perpule;0;Apps;Bangalore;Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.;Series A;3740000;2018
Worxogo;0;Information Technology;Bangalore;worxogo’s is a pioneering persuasive technology products align employee behaviours .;Series A;1815000;2018
Mobile Premier League (MPL);0;Gaming;Bengaluru;Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.;Series A;4650000;2018
Vivish Technologies (myGate);0;Apps;Bengaluru;India's leading mobile based security management solution .;Series A;7150000;2018
Freyr Energy;0;Energy;Hyderabad;Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.;Series A;1395000;2018
NoPaperForms Solutions Pvt. Ltd.;0;EdTech;New Delhi;NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions;Series B;3701400;2018
ClearTax;0;Accounting;New Delhi;ClearTax India helps individuals prepare and e-file their Income Tax Return online.;Series B;44000000;2018
Chaayos;0;Food and Beverage;New Delhi;Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.;Series B;8910000;2018
Kogta Financial India Limited;0;Financial Services;Jaipur;Kogta Financial (India) Ltd is a retail-focused non banking financial company .;Series B;16940000;2018
ElasticRun;0;Delivery;Pune;ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.;Series B;6600000;2018
Shop101;0;Apps;Mumbai;#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.;Series B;10230000;2018
Flyrobe;0;Fashion;Mumbai;Flyrobe is an on-demand apparel rental platform that provides premium designer wear.;Series B;2904000;2018
LetsTransport;0;Logistics;Bangalore;Lets transport is a logistics solution provider.;Series B;11000000;2018
Vedantu;0;EdTech;Bangalore;Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers;Series B;10230000;2018
Stelis Biopharma;0;Biopharma;Bangalore;Stelis Biopharma is a vertically integrated biopharmaceutical company;Series B;93000000;2018
Mech Mocha;0;Digital Entertainment;Bangalore;Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .;Series B;3282900;2018
HealthifyMe;0;Apps;Bangalore;HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.;Series B;5580000;2018
Design Cafe;0;Home Decor;Bengaluru;Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.;Series B;22000000;2018
Housejoy;0;Beauty;Bengaluru;Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.;Series B;3013200;2018
Ninjacart;0;AgTech;Bengaluru;Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.;Series B;27500000;2018
CropIn Technologies;0;Agriculture;Bengaluru;To discover, develop and deliver innovative solution in Agtech Space;Series B;6380000;2018
FabAlley;0;E-Commerce;Noida;FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar;Series B;6600000;2018
Roposo;0;Internet;Gurgaon;Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.;Series C;9300000;2018
Magicpin;0;E-Commerce;Gurgaon;Magicpin is a platform where users and merchants in a locality discover, interact, and transact.;Series C;15510000;2018
Ummeed Housing Finance Private Limited;0;Finance;Haryana;Ummeed Housing Finance Private Limited;Series C;6600000;2018
Toppr;0;EdTech;Mumbai;Toppr.com is an online preparation platform for entrance exams in India.;Series C;32550000;2018
ERUDITUS Executive Education;0;Continuing Education;Mumbai;Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes;Series C;37200000;2018
Meesho;0;E-Commerce;Bangalore;Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.;Series C;46500000;2018
Moglix;0;B2B;Noida;Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.;Series C;21390000;2018
UrbanClap;0;Apps;Delhi;UrbanClap is India's leading managed marketplace for home services.;Series D;46500000;2018
Blackbuck;0;Information Services;Bengaluru;Blackbuck is a logistics startup based in India.;Series D;22325600;2018
MobiKwik;0;Consumer Lending;Gurgaon;MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India;Series E;2640000;2018
OYO;0;Hospitality;Gurgaon;OYO is an Indian hospitality startup that operates a network of budget hotels.;Series E;93000000;2018
Fusion Microfinance;0;Banking;New Delhi;Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI;Series E;57200000;2018
Swiggy;0;Food Delivery;Bangalore;Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.;Series H;930000000;2018
Classworks India;0;Education;Chennai;Saas, Web App, Mobile App, School Education;Undisclosed;1100;2018
Traveo Soft Pvt. Ltd.;0;Mobile;Bangalore;AI based Business Travel & Expense management;Undisclosed;13200;2018
Satin Creditcare Network Limited (SCNL);0;Banking;New Delhi;Satin is a non-banking finance company providing individual loans to urban shopkeepers.;Post-IPO Debt;27900000;2018
Aavas Financiers;0;Finance;Jaipur;Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.;Post-IPO Debt;22000000;2018
Yaantra;0;Information Services;Delhi;Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India;Debt Financing;1860000;2018
Aye Finance;0;Finance;Gurgaon;Aye Finance provides financial services to micro and small businesses in Northern India.;Debt Financing;792000;2018
OneAssist;0;Financial Services;Mumbai;OneAssist is a protection & assistance services platform.;Debt Financing;2232000;2018
Portea Medical;0;Health Care;Bangalore;Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.;Debt Financing;2750000;2018
Quikr;0;Classifieds;Bangalore;Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.;Debt Financing;6050000;2018
Dunzo;0;Customer Service;Bangalore;Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.;Debt Financing;770000;2018
Drivezy;0;Automotive;Bengaluru;Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.;Debt Financing;93000000;2018
Vogo Rentals;0;Last Mile Transportation;Kormangala;Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.;Debt Financing;880000;2018
Studds Accessories;0;E-Commerce;Faridabad;Studds Accessories is a scooter accessories service provider in India;Private Equity;11000000;2018
Vistara;0;Aerospace;Haryana;Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA);Private Equity;220000000;2018
SBI Life;0;Insurance;Mumbai;SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.;Private Equity;690060000;2018
APAC Financial Services;0;Finance;Mumbai;APAC Financial Services is a financial services platform.;Private Equity;27500000;2018
InCred;0;Banking;Mumbai;InCred Finance is a mumbai-based non-banking financial company;Private Equity;38967000;2018
BYJU’S;0;EdTech;Bangalore;BYJU’s is an edtech company that is reinventing how students learn through its learning app.;Private Equity;502200000;2018
Royal Sundaram General Insurance Co. Limited;0;Health Insurance;Kalpakkam;Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.;Corporate Round;195300000;2018
LT Foods;0;Food and Beverage;New Delhi;LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.;Post-IPO Equity;15400000;2018
Indiabulls Ventures;0;Financial Services;Mumbai;Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.;Post-IPO Equity;169312000;2018
Nykaa;0;Beauty;Mumbai;Nykaa.com is a premier online beauty and wellness destination;Secondary Market;12430000;2018
MyNewCar.in;0;Automotive;Gurgaon;MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive;Venture - Series Unknown;930000;2018
WalMart India;0;Retail;Gurgaon;Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,;Venture - Series Unknown;35042400;2018
Hero Electric;0;Manufacturing;New Delhi;Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.;Venture - Series Unknown;17600000;2018
Stanza Living;0;Hospitality;New Delhi;Stanza Living is a co-living platform created for students moving to a new place.;Venture - Series Unknown;8029999;2018
Satya MicroCapital;0;Finance;New Delhi;New Delhi-based non-banking financial company.;Venture - Series Unknown;4400000;2018
GoBolt;0;Logistics;New Delhi;Delhi-based logistics technology.;Venture - Series Unknown;4400000;2018
Rays Power Infra;0;Energy;Jaipur;Rays Power Infra is a leading integrated Solar Power Company.;Venture - Series Unknown;22000000;2018
Vivriti Capital;0;Financial Services;Chennai;Vivriti Capital is an online platform for institutional debt in India.;Venture - Series Unknown;26505000;2018
Wow Venue;0;Events;Mumbai;Wow Venue is an online platform.;Venture - Series Unknown;1395000;2018
ION Energy;0;Energy;Mumbai;A stealth startup building a layer of infrastructure for highly efficient energy storage systems.;Venture - Series Unknown;968130;2018
The Souled Store;0;Fashion;Mumbai;The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.;Venture - Series Unknown;2790000;2018
Sukkhi Jewellery;0;Fashion;Mumbai;Sukkhi Jewellery is a Contemporary fashion jewellery brand.;Venture - Series Unknown;5610000;2018
Wakefit;0;Manufacturing;Bangalore;Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.;Venture - Series Unknown;7150000;2018
Wicked Ride Adventure Services Private Limited;0;Automotive;Bangalore;Peer-to-Peer motor vehicles sharing;Venture - Series Unknown;9300000;2018
GoZefo;0;Computer;Bangalore;Startup working on a white space in the eCommerce industry.;Venture - Series Unknown;2310000;2018
Qbera;0;Finance;Bangalore;Qbera is a managed marketplace for unsecured personal loans.;Venture - Series Unknown;1540000;2018
Myra;0;Apps;Bangalore;Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.;Venture - Series Unknown;96250;2018
DRIVEU;0;Rental;Bengaluru;DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses;Venture - Series Unknown;770000;2018
Lavelle Networks;0;Cloud Computing;Bengaluru;Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow;Venture - Series Unknown;220000;2018
Shopkirana;0;E-Commerce;Indore;Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.;Venture - Series Unknown;1860000;2018
MadGuy Labs;0;E-Learning;Hyderabad;MadGuy Labs is a Online Test-prep Platform.;Venture - Series Unknown;139500;2018
Lenskart;2010;E-commerce;Delhi;It is a eyewear company;Series G;255750000;2019
GoMechanic;2016;Automobile & Technology;Delhi;Find automobile repair and maintenance service providers;Series B;4650000;2019
Seekify;2019;SaaS;Delhi;Customer Experience (CX) Automation platform;Seed funding;1395000;2019
Kratikal;2013;Technology;Noida;It is a product-based cybersecurity solutions provider;Pre series A;930000;2019
CarDekho;2008;Automobile;Jaipur;Enables people to buy and sell new/old cars.;Series D;65100000;2019
Freshokartz;2016;E-marketplace;Jaipur;Online fruits and vegetables delivery company;Pre series A;139500;2019
Purplle;2012;Cosmetics;Mumbai;Online makeup and beauty products retailer;Series C;27900000;2019
Ruangguru;2014;Edtech;Mumbai;A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students;Series C;139500000;2019
eJOHRI;2015;Jewellery;Mumbai;Omnichannel marketplace for gems and jewellery;Pre series A;930000;2019
Freightwalla;2017;B2B;Mumbai;Provides digital platform for businesses to plan and manage their international freight shipments online;Series A;3720000;2019
HomeLane;2014;Interior design;Chennai;Provides interior designing solutions;Series D;27900000;2019
Kaleidofin;2018;Fintech;Chennai;Platform that provides complete financial solutions for excluded individuals and households;Series A;4650000;2019
Toffee Insurance;2017;Insurance technology;Haryana;Provides variety of insurance plans and policies;Series A;5115000;2019
HappyEasyGo;2017;Travel;Gurugram;Online flight booking;Series B+;45942000;2019
Zest Money;2015;Fintech;Bangalore;Uses AI to do risk profiling of e-commerce consumers who opt for EMI;Series B;13950000;2019
HungerBox;2015;Foodtech;Bangalore;Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias;Series C;11160000;2019
Licious;2015;Food;Bangalore;Online meat shop;Series D;23250000;2019
Shadowfax;2015;Logistics;Bangalore;A platform for delivery services;Series D;55800000;2019
Trell;2016;Social Media;Bangalore;Blogging platform that enables people to create visual collections of their travel and local experiences;Pre series A;1860000;2019
Zetwerk;2018;Manufacturing;Bangalore;Provides facilities to get products manufactured.;Series B;29760000;2019
IndyFint;2019;Virtual Banking;Bangalore;It helps lenders to directly provide short-term loans to merchants, employees, and students;Series A;1953000;2019
Chargebee;2011;SaaS startup;San Francisco Bay Area;Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses;Series F;51150000;2020
Ergos;2012;AgriTech;Samastipur;Ergos is building an integrated supply chain by setting up micro warehouses.;Series A;4650000;2020
Coralogix;2013;SaaS startup;San Francisco;Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.;Series B;23250000;2020
Infarm;2013;AgriTech;Berlin;Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.;Series C;158100000;2020
Origa;2013;FinTech;Andheri;The charioteer of your growth at all times.;Debt;1860000;2020
Kirana King;2014;Retail;Jaipur;A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.;Pre-series A;837000;2020
Monet Networks;2014;AI startup;Irvine;Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.;Bridge;465000;2020
SquadStack;2014;Tech company;San Francisco;Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.;Series A;4650000;2020
Whatfix;2014;SaaS;Banglore;Digital adoption platform that helps companies provide intuitive onboarding, training and support;Series C;29760000;2020
Krimanshi;2015;Biotechnology company;Jodhpur;Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.;Seed;558000;2020
Livve;2015;Rental space;Cochin;An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.;Seed;1395000;2020
CredoLab;2015;Tech;Singapore;AI credit scoring platform;Series A;6510000;2020
Freshokartz;2016;AgriTech;Jaipur;Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides;Pre-series A;930000;2020
Tekion;2016;AI startup;San Ramon;It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.;Series C;139500000;2020
Zuper;2016;SaaS startup;Seattle;Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.;Seed;1023000;2020
Hippo Video;2016;Video personalization;New York;Helps enterprise businesses achieve their marketing and sales goals through seamless video;Series A;3720000;2020
ShopUp;2017;E-commerce;Bangaldesh;ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.;Series A;20460000;2020
